total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
900,3,2,45,0,1,0,0,5000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
900,3,2,38,1,0,0,0,4222.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
610,2,1,27,1,0,0,0,4426.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550,1,1,27.5,1,0,0,0,5000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
900,3,2,54,0,1,0,0,6000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
914,3,2,50,1,0,0,0,5470.46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
900,3,2,48,0,1,0,0,5333.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
990,2,2,90,0,1,0,0,9090.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
850,2,1,86,0,1,0,0,10117.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
810,2,2,85,0,1,0,0,10493.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
900,2,2,120,0,0,0,1,13333.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
645,2,2,90,0,1,0,0,13953.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
900,2,1,125,0,0,0,1,13888.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
900,3,2,88,0,0,0,1,9777.78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
807,1,2,100,1,0,0,0,12391.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
360,1,1,45,1,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
650,2,1,60,0,1,0,0,9230.77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
650,2,2,70,0,0,0,1,10769.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
538,1,1,50,0,0,1,0,9293.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
650,2,1,37,1,0,0,0,5692.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600,2,2,65,0,1,0,0,10833.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
635,2,2,55.51,0,1,0,0,8741.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
340,1,1,21,0,0,0,1,6176.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
635,2,2,55,1,0,0,0,8661.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
968,3,2,65,0,1,0,0,6714.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
850,2,1,37.5,0,0,1,0,4411.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
900,2,2,60,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
630,1,1,27,0,1,0,0,4285.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
675,2,2,51,0,1,0,0,7555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
624,2,2,48,0,1,0,0,7692.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
460,1,1,34,0,1,0,0,7391.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
900,3,4,60,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
990,2,2,60,0,0,0,1,6060.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
